City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,funafuti,-8.5243,179.1942,28.0,94,75,0.0,TV,1712864883
82,palopo,-2.9996,120.1921,23.96,96,100,1.08,ID,1712864883
83,enewetak,11.3474,162.3373,26.94,79,94,10.08,MH,1712864858
84,ribeira grande,38.5167,-28.7,16.22,88,20,2.57,PT,1712864883
85,minas de marcona,-15.2119,-75.1103,22.64,57,4,6.32,PE,1712864884
86,balaipungut,1.05,101.2833,23.82,98,98,0.74,ID,1712864884
87,saldanha,-33.0117,17.9442,19.03,54,6,6.15,ZA,1712864884
88,pesaro,43.9036,12.8903,17.41,69,100,3.27,IT,1712864884
89,mandalgovi,45.7625,106.2708,5.9,60,0,2.69,MN,1712864839
90,carahue,-38.7,-73.1667,20.57,30,0,2.43,CL,1712864884
91,dobryanka,58.4619,56.4165,9.59,92,100,5.88,RU,1712864885
92,chibougamau,49.9168,-74.3659,13.79,44,75,4.12,CA,1712864885
93,nikol'sk,53.7189,46.0712,14.41,88,100,3.52,RU,1712864885
94,mahajanga,-15.7167,46.3167,29.01,84,20,3.09,MG,1712864885
95,merizo village,13.2658,144.6691,27.31,91,100,5.76,GU,1712864885
96,vorkuta,67.5,64.0,-9.38,87,100,12.07,RU,1712864871
97,dalian,38.9122,121.6022,10.96,76,0,5.0,CN,1712864885
98,kasama,-10.2129,31.1808,17.79,98,100,1.31,ZM,1712864886
99,remire-montjoly,4.9167,-52.2667,31.02,70,75,7.72,GF,1712864886
100,piti village,13.4626,144.6933,27.49,88,20,3.09,GU,1712864886
101,crane,31.3974,-102.3501,25.25,15,0,4.69,US,1712864886
102,jabor,5.921,169.6434,27.49,84,100,8.49,MH,1712864886
103,trenggalek,-8.05,111.7167,24.62,96,100,0.92,ID,1712864886
104,champerico,14.3,-91.9167,36.3,62,72,6.31,GT,1712864887
105,selfoss,63.9331,-20.9971,4.47,98,100,4.14,IS,1712864831
106,sao raimundo nonato,-9.0153,-42.6994,30.71,53,83,2.0,BR,1712864887
107,okha,53.5739,142.9478,-1.53,96,51,4.02,RU,1712864887
108,dryden,49.7833,-92.7503,10.16,57,100,3.6,CA,1712864887
109,meulaboh,4.1363,96.1285,26.01,88,100,1.34,ID,1712864887
110,laojunmiao,39.8333,97.7333,9.08,27,6,1.43,CN,1712864887
111,kruisfontein,-34.0033,24.7314,13.82,74,3,2.66,ZA,1712864888
112,ambodifotatra,-16.9833,49.85,28.03,87,36,7.1,MG,1712864888
113,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712864854
114,dwarka,22.2394,68.9678,25.1,87,6,4.61,IN,1712864888
115,st. john's,47.5649,-52.7093,6.75,67,20,3.6,CA,1712864831
116,arteche,12.2645,125.4048,25.28,89,100,2.17,PH,1712864888
117,whakatane,-37.9585,176.9854,20.99,96,100,4.92,NZ,1712864889
118,georgetown,5.4112,100.3354,28.86,83,20,0.51,MY,1712864888
119,constantia,44.1833,28.65,14.38,61,11,1.69,RO,1712864645
120,wuhai,39.6647,106.8122,12.62,31,0,1.2,CN,1712864889
121,paraiso,9.8383,-83.8656,27.95,68,96,2.68,CR,1712864747
122,vadso,70.0744,29.7487,1.49,86,75,9.26,NO,1712864849
123,arraial do cabo,-22.9661,-42.0278,28.98,74,40,4.12,BR,1712864852
124,rikaze,29.25,88.8833,1.15,31,2,1.53,CN,1712864890
125,pont rouge,48.8833,-72.0825,8.16,74,100,3.51,CA,1712864890
126,belmonte,-15.8631,-38.8828,27.65,75,89,3.61,BR,1712864890
127,salinas,36.6777,-121.6555,30.55,62,0,2.57,US,1712864776
128,ketchikan,55.3422,-131.6461,6.86,81,100,5.14,US,1712864890
129,muynoq,43.7683,59.0214,12.01,83,100,11.93,UZ,1712864891
130,kodiak,57.79,-152.4072,-0.27,93,100,2.06,US,1712864891
131,alice springs,-23.7,133.8833,11.23,60,3,2.57,AU,1712864853
132,kingston,17.997,-76.7936,31.76,66,20,10.8,JM,1712864765
133,hilo,19.7297,-155.09,22.92,99,100,3.09,US,1712864637
134,ciro marina,39.3732,17.126,17.27,70,100,4.82,IT,1712864891
135,saipan,15.1355,145.701,26.39,83,40,5.14,MP,1712864891
136,dauphin,51.1494,-100.0502,10.08,62,100,2.57,CA,1712864892
137,qaqortoq,60.7167,-46.0333,-3.01,77,89,2.23,GL,1712864826
138,iqaluit,63.7506,-68.5145,-2.15,68,100,1.03,CA,1712864835
139,talnakh,69.4865,88.3972,-26.0,99,95,3.15,RU,1712864892
140,punta arenas,-53.15,-70.9167,11.01,57,0,7.2,CL,1712864715
141,lebu,-37.6167,-73.65,14.54,68,1,3.04,CL,1712864892
142,mossel bay,-34.1831,22.146,12.96,74,0,3.45,ZA,1712864893
143,ust-nera,64.5667,143.2,-12.9,96,88,2.76,RU,1712864893
